date,exercise,sets,reps,each_side,is_timed,weight,weight_unit,reps_raw,weight_raw,cardio_distance,cardio_duration,cardio_pace,cardio_raw,source_file
2025-08-19,(Tricep-Wide-Dike-Tri) 100 Pushups Stretch,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-08-19,Bicep Curls,,,False,False,55.0,lbs,,55 lbs,,,,,1-10.pdf.json
2025-08-19,Date : 8/19/25,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-19,EZ Bar,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-19,Pendulum,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-19,Prone KTWs,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-19,Pushups,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-08-19,RB Around-the-world,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-19,RB Reach Backs,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-19,Scapular,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-19,Scapular Refractions Swings,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-19,Wall Slides,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-21,ITWs,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-21,Med. Ball Circles,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-21,Muscle ups,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-21,Pullups (reg.),,,False,False,,,,,,,,,1-10.pdf.json
2025-08-21,Pullups w/ Neutral Grip Bar,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-21,Tricep Pulldown,,,False,False,72.0,lbs,,56-72 lbs.,,,,,1-10.pdf.json
2025-08-21,Wall Slides,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-25,Hamstring Curls,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-25,RB Hip Abductions,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-26,(F+B) (stos),,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-08-26,Band Pull-Aparts,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-26,Bosu Ball step ups,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-26,Cable Lunges,,,False,False,65.0,lbs,,65 lbs.,,,,,1-10.pdf.json
2025-08-26,Cable Squat,,,False,False,65.0,lbs,,65 165,,,,,1-10.pdf.json
2025-08-26,External / Internal,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-26,"Front , Diagonal ,",,,False,False,,,,,,,,,1-10.pdf.json
2025-08-26,Lateral Band Walks,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-26,Plank Scapular,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-26,Pull downs RB,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-26,Pushups,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-26,Rotations RB,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-26,SL Bosu Squat,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-26,Straight Arm Lateral Raises,,,False,False,10.0,lbs,,10 lbs.,,,,,1-10.pdf.json
2025-08-26,pistol,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-08-26,w/ DB w/ squat,,,False,False,23.0,lbs,,"23 lbs, black",,,,,1-10.pdf.json
2025-08-27,Dips,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-08-27,Hollow Body Holds,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-27,L-sits,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-27,Pectoral Flies,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-28,1 Bulgarian Split Lunges,,,False,False,30.0,lbs,,30 lbs.,,,,,1-10.pdf.json
2025-08-28,1 SA cable pull down,,,False,False,55.0,lbs,,55 16s.,,,,,1-10.pdf.json
2025-08-28,1 Shoulder Shrug Trio,,,False,False,14.0,lbs,,14 lbs.,,,,,1-10.pdf.json
2025-08-28,Bosu Ball SL pistol squat,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-08-28,Ext./Int. rotations,,,False,False,0.0,red_band,,Red Band,,,,,1-10.pdf.json
2025-08-28,Hip Thrust Machine,,,False,False,149.0,lbs,,149 lbs.,,,,,1-10.pdf.json
2025-08-28,Shoulder Raise,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-28,Trio,,,False,False,10.0,lbs,,10 lbs.,,,,,1-10.pdf.json
2025-08-28,YTWS,,,False,False,0.0,bodyweight,,BW,,,,,1-10.pdf.json
2025-08-30,(plank),,,False,False,,,,,,,,,1-10.pdf.json
2025-08-30,Bicep Carls Alt.,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-30,Ext/Int Rotations,,,False,False,0.0,red_band,,Red Band,,,,,1-10.pdf.json
2025-08-30,RB Face Pulls,,,False,False,0.0,red_band,,Red Band,,,,,1-10.pdf.json
2025-08-30,RB Pull-Aparts,,,False,False,0.0,band,,And Band,,,,,1-10.pdf.json
2025-08-30,RB Shoulder Pull-Downs,,,False,False,0.0,blue_band,,Rs Blue Band,,,,,1-10.pdf.json
2025-08-30,Scapular Push Ups,,,False,False,,,,,,,,,1-10.pdf.json
2025-08-30,Shoulder Raise Trio,,,False,False,10.0,lbs,,10 lbs .,,,,,1-10.pdf.json
2025-08-30,Shoulder Shougs,,,False,False,10.0,lbs,,10 lbs.,,,,,1-10.pdf.json
2025-08-30,Tricep Push UPS,,,False,False,,,,,,,,,1-10.pdf.json
