week_start,sessions_accessory,sessions_mobility,sessions_skill,sessions_strength,sessions_unknown,total_sets_accessory,total_sets_mobility,total_sets_skill,total_sets_strength,total_sets_unknown,total_reps_accessory,total_reps_mobility,total_reps_skill,total_reps_strength,total_reps_unknown,total_work_accessory,total_work_mobility,total_work_skill,total_work_strength,total_work_unknown,exercises_accessory,exercises_mobility,exercises_skill,exercises_strength,exercises_unknown,total_sets_all,total_reps_all,total_work_all,pct_work_strength,pct_work_skill,pct_work_accessory,pct_work_mobility
2025-08-18,2.0,2.0,0.0,2.0,0.0,8.0,10.0,0.0,17.0,0.0,50.0,46.0,0.0,61.0,0.0,100.0,92.0,0.0,3519.0,0.0,3.0,4.0,0.0,6.0,0.0,35.0,157.0,3711.0,94.8,0.0,2.7,2.5
2025-08-25,4.0,2.0,0.0,5.0,0.0,25.0,5.0,0.0,52.0,0.0,200.0,39.0,0.0,398.0,0.0,450.0,654.0,0.0,18285.0,0.0,9.0,2.0,0.0,19.0,0.0,82.0,637.0,19389.0,94.3,0.0,2.3,3.4
2025-09-01,2.0,2.0,0.0,3.0,0.0,17.0,5.0,0.0,45.0,0.0,120.0,30.0,0.0,217.0,0.0,295.0,750.0,0.0,39336.0,0.0,6.0,2.0,0.0,15.0,0.0,67.0,367.0,40381.0,97.4,0.0,0.7,1.9
2025-09-08,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,23.0,0.0,0.0,15.0,0.0,134.0,0.0,0.0,540.0,0.0,21650.0,0.0,0.0,1.0,0.0,9.0,0.0,26.0,149.0,22190.0,97.6,0.0,0.0,2.4
2025-09-15,1.0,1.0,1.0,3.0,0.0,3.0,3.0,4.0,34.0,0.0,15.0,15.0,40.0,151.0,0.0,45.0,675.0,160.0,30410.0,0.0,1.0,1.0,1.0,11.0,0.0,44.0,221.0,31290.0,97.2,0.5,0.1,2.2
2025-09-22,1.0,0.0,1.0,2.0,0.0,7.0,0.0,6.0,39.0,0.0,27.0,0.0,65.0,165.0,0.0,96.0,0.0,195.0,16535.0,0.0,2.0,0.0,2.0,13.0,0.0,52.0,257.0,16826.0,98.3,1.2,0.6,0.0
2025-09-29,1.0,0.0,3.0,3.0,0.0,9.0,0.0,27.0,42.0,0.0,72.0,0.0,177.0,191.0,0.0,643.5,0.0,531.0,50196.0,0.0,5.0,0.0,8.0,12.0,0.0,78.0,440.0,51370.5,97.7,1.0,1.3,0.0
2025-10-06,1.0,0.0,1.0,1.0,0.0,6.0,0.0,6.0,10.0,0.0,25.0,0.0,75.0,23.0,0.0,367.5,0.0,225.0,8209.0,0.0,2.0,0.0,2.0,3.0,0.0,22.0,123.0,8801.5,93.3,2.6,4.2,0.0
2025-10-20,2.0,0.0,3.0,3.0,0.0,9.0,0.0,36.0,32.0,0.0,45.0,0.0,171.0,125.0,0.0,135.0,0.0,513.0,20999.0,0.0,2.0,0.0,8.0,10.0,0.0,77.0,341.0,21647.0,97.0,2.4,0.6,0.0
2025-10-27,3.0,0.0,3.0,3.0,0.0,7.0,0.0,28.0,32.0,0.0,37.0,0.0,138.0,96.0,0.0,510.0,0.0,432.0,15590.0,0.0,2.0,0.0,7.0,10.0,0.0,67.0,271.0,16532.0,94.3,2.6,3.1,0.0
2025-11-03,2.0,0.0,3.0,3.0,0.0,11.0,0.0,19.0,37.0,0.0,85.0,0.0,100.0,124.0,0.0,385.0,0.0,325.0,33814.0,0.0,3.0,0.0,6.0,10.0,0.0,67.0,309.0,34524.0,97.9,0.9,1.1,0.0
2025-11-10,2.0,0.0,2.0,3.0,0.0,7.0,0.0,11.0,50.0,0.0,75.0,0.0,35.0,192.0,0.0,780.0,0.0,115.0,33130.0,0.0,5.0,0.0,3.0,15.0,0.0,68.0,302.0,34025.0,97.4,0.3,2.3,0.0
2025-11-17,2.0,0.0,1.0,2.0,1.0,5.0,0.0,6.0,23.0,0.0,30.0,0.0,7.0,92.0,0.0,787.5,0.0,21.0,33808.0,0.0,2.0,0.0,2.0,6.0,1.0,34.0,129.0,34616.5,97.7,0.1,2.3,0.0
2025-11-24,3.0,0.0,3.0,4.0,0.0,36.0,0.0,11.0,64.0,0.0,112.0,0.0,40.0,271.0,0.0,6360.0,0.0,105.0,36405.0,0.0,8.0,0.0,3.0,19.0,0.0,111.0,423.0,42870.0,84.9,0.2,14.8,0.0
2025-12-01,3.0,0.0,3.0,4.0,0.0,11.0,0.0,22.0,56.0,0.0,75.0,0.0,181.0,232.0,0.0,360.0,0.0,505.0,21851.0,0.0,4.0,0.0,8.0,16.0,0.0,89.0,488.0,22716.0,96.2,2.2,1.6,0.0
2025-12-08,4.0,1.0,3.0,5.0,0.0,18.0,3.0,19.0,66.0,0.0,97.0,8.0,115.0,269.0,0.0,981.0,24.0,347.0,43632.0,0.0,5.0,1.0,6.0,17.0,0.0,106.0,489.0,44984.0,97.0,0.8,2.2,0.1
2025-12-15,2.0,1.0,3.0,3.0,0.0,13.0,1.0,29.0,26.0,0.0,59.0,10.0,177.0,72.0,0.0,769.0,10.0,441.0,12896.0,0.0,3.0,1.0,10.0,8.0,0.0,69.0,318.0,14116.0,91.4,3.1,5.4,0.1
2025-12-22,2.0,2.0,2.0,1.0,0.0,11.0,6.0,19.0,6.0,0.0,90.0,64.0,89.0,30.0,0.0,450.0,64.0,326.0,1800.0,0.0,4.0,4.0,4.0,2.0,0.0,42.0,273.0,2640.0,68.2,12.3,17.0,2.4
