date,exercise,sets_manual,reps_manual,each_side,weight,weight_unit,notes
2025-08-19,(Tricep-Wide-Dike-Tri) 100 Pushups Stretch,,,,0.0,bodyweight,
2025-08-19,Bicep Curls,,,,55.0,lbs,
2025-08-19,EZ Bar,,,,,,
2025-08-19,Pendulum,,,,,,
2025-08-19,Prone KTWs,,,,,,
2025-08-19,Pushups,,,,0.0,bodyweight,
2025-08-19,RB Around-the-world,,,,,,
2025-08-19,RB Reach Backs,,,,,,
2025-08-19,Scapular,,,,,,
2025-08-19,Scapular Refractions Swings,,,,,,
2025-08-19,Wall Slides,,,,,,
2025-08-21,ITWs,,,,,,
2025-08-21,Med. Ball Circles,,,,,,
2025-08-21,Muscle ups,,,,,,
2025-08-21,Pullups (reg.),,,,,,
2025-08-21,Pullups w/ Neutral Grip Bar,,,,,,
2025-08-21,Tricep Pulldown,,,,72.0,lbs,
2025-08-21,Wall Slides,,,,,,
2025-08-25,Hamstring Curls,,,,,,
2025-08-25,RB Hip Abductions,,,,,,
2025-08-26,(F+B) (stos),,,,0.0,bodyweight,
2025-08-26,Band Pull-Aparts,,,,,,
2025-08-26,Bosu Ball step ups,,,,,,
2025-08-26,Cable Lunges,,,,65.0,lbs,
2025-08-26,Cable Squat,,,,65.0,lbs,
2025-08-26,External / Internal,,,,,,
2025-08-26,"Front , Diagonal ,",,,,,,
2025-08-26,Lateral Band Walks,,,,,,
2025-08-26,Plank Scapular,,,,,,
2025-08-26,Pull downs RB,,,,,,
2025-08-26,Pushups,,,,,,
2025-08-26,Rotations RB,,,,,,
2025-08-26,SL Bosu Squat,,,,,,
2025-08-26,Straight Arm Lateral Raises,,,,10.0,lbs,
2025-08-26,pistol,,,,0.0,bodyweight,
2025-08-26,w/ DB w/ squat,,,,23.0,lbs,
2025-08-27,Dips,,,,0.0,bodyweight,
2025-08-27,Hollow Body Holds,,,,,,
2025-08-27,L-sits,,,,,,
2025-08-27,Pectoral Flies,,,,,,
2025-08-28,1 Bulgarian Split Lunges,,,,30.0,lbs,
2025-08-28,1 SA cable pull down,,,,55.0,lbs,
2025-08-28,1 Shoulder Shrug Trio,,,,14.0,lbs,
2025-08-28,Bosu Ball SL pistol squat,,,,0.0,bodyweight,
2025-08-28,Ext./Int. rotations,,,,0.0,red_band,
2025-08-28,Hip Thrust Machine,,,,149.0,lbs,
2025-08-28,Shoulder Raise,,,,,,
2025-08-28,Trio,,,,10.0,lbs,
2025-08-28,YTWS,,,,0.0,bodyweight,
2025-08-30,(plank),,,,,,
2025-08-30,Bicep Carls Alt.,,,,,,
2025-08-30,Ext/Int Rotations,,,,0.0,red_band,
2025-08-30,RB Face Pulls,,,,0.0,red_band,
2025-08-30,RB Pull-Aparts,,,,0.0,band,
2025-08-30,RB Shoulder Pull-Downs,,,,0.0,blue_band,
2025-08-30,Scapular Push Ups,,,,,,
2025-08-30,Shoulder Raise Trio,,,,10.0,lbs,
2025-08-30,Shoulder Shougs,,,,10.0,lbs,
2025-08-30,Tricep Push UPS,,,,,,
2025-08-30,YTWs,,,,,,
2025-09-01,1 Crunches,,,,0.0,bodyweight,
2025-09-01,1 Scapular Pushups (Plank),,,,0.0,bodyweight,
2025-09-01,1 Shoulder Shrugs,,,,10.0,lbs,
2025-09-01,Ext/Int Rotations,,,,0.0,red_band,
2025-09-01,RB Pull-Aparts,,,,0.0,blue_band,
2025-09-01,Scapular Pushups,,,,0.0,bodyweight,
2025-09-01,Shoulder Raise Trio,,,,10.0,lbs,
2025-09-01,Tricep Pushups,,,,0.0,bodyweight,
2025-09-02,Booty Builder,,,,,,
2025-09-02,Hip Abductions ( machine),,,,145.0,lbs,
2025-09-02,Hip Adductions ( machine ),,,,100.0,lbs,
2025-09-02,MB Hamstring Curls,,,,0.0,bodyweight,
2025-09-02,Squat,,,,140.0,lbs,
2025-09-02,standing Hack,,,,,,
2025-09-02,standing SL calf raises,,,,40.0,lbs,
2025-09-03,(FIOR) (Stos),,,,0.0,bodyweight,
2025-09-03,(FtB ) (Stos ),,,,0.0,bodyweight,
2025-09-03,1 Bosu Ball Iso Pistol,,,,,,
2025-09-03,1 Cable Lunges,,,,50.0,lbs,
2025-09-03,1 Cable Squats,,,,50.0,lbs,
2025-09-03,1 IL sit-to-stand,,,,0.0,bodyweight,
2025-09-03,Bose Ball Step-ups,,,,,,
2025-09-03,I SL Bosu Ball,,,,,,
2025-09-03,MB Hamstring Curls,,,,,,
2025-09-03,N/ Squat,,,,25.0,lbs,
2025-09-03,Pistol Squats,,,,0.0,bodyweight,
2025-09-03,RB Lateral Walk,,,,,,
2025-09-03,SL Cores Drill,,,,,,
2025-09-03,Sliders,,,,,,
2025-09-03,Squat w/Front Row,,,,0.0,bodyweight,
2025-09-06,Ext/int rotations,,,,,,
2025-09-06,Scapular Pushups,,,,,,
2025-09-06,shoulder shrugs,,,,10.0,lbs,
2025-09-07,1 Bulgarians,,,,30.0,lbs,
2025-09-07,Booty Builder,,,,215.0,lbs,
2025-09-07,Hamstring carls,,,,85.0,lbs,
2025-09-07,Inverted Rows,,,,0.0,bodyweight,
2025-09-09,Converging Cheat Press,,,,148.0,lbs,
2025-09-09,DB Chest Press,,,,65.0,lbs,
2025-09-09,DO Thumbsup Shoulder Raises,,,,15.0,lbs,
2025-09-09,Front DE Shoulder Paises,,,,15.0,lbs,
2025-09-09,Handstand Holds w / wall,,,,0.0,bodyweight,
2025-09-09,Seated Pectoral Fles,,,,160.0,lbs,
2025-09-10,1 Hip Abductions,,,,,,
2025-09-10,1 shoulder Shrug Trio +,,,,12.0,lbs,
2025-09-10,Booty Builder,,,,215.0,lbs,
2025-09-10,Curl,,,,120.0,lbs,
2025-09-10,Hip Adductions,,,,110.0,lbs,
2025-09-10,Prone Leg,,,,,,
2025-09-10,SL Bosu Ball Pistol Squat,,,,0.0,bodyweight,
2025-09-10,Triceps/ Reg. Pushups,,,,0.0,bodyweight,
2025-09-10,Trio,,,,12.0,lbs,
2025-09-10,shoulder Raise,,,,,,
2025-09-16,Bicep Curls EZ Bar,,,,40.0,lbs,
2025-09-16,Crushers,,,,25.0,lbs,
2025-09-16,SA Tricep Skull,,,,,,
2025-09-16,Scapular Push Ups,,,,0.0,bodyweight,
2025-09-16,shoulder Shrugs,,,,15.0,lbs,
2025-09-25,BB Inverted row 900,,,,0.0,bodyweight,
2025-09-25,Bulgarian Split,,,,,,
2025-09-25,Hip Adductions,,,,115.0,lbs,
